Time(ms)(s),Heading(°),WindDir(°),RelWind(°),WindSpd(mph),Lat,Lon,GpsStat,GpsSpeed,GpsCourse,Rudder(°),Sail(°),TargetSail(°),Status
34413,116.2,332.0,215.8,3.36,52.484344,-1.889927,8,3.85,83.32,95.28,180.0,180.0,OK
34614,359.6,12.0,12.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
35061,2.9,0.0,357.1,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
35149,332.7,175.0,202.3,1.44,52.483963,-1.888907,5,0.17,257.56,48.0,180.0,180.0,OK
35311,214.4,0.0,145.6,6.72,52.48386,-1.890075,9,2.56,346.68,135.0,180.0,180.0,OK
35444,113.8,330.0,216.2,3.36,52.484344,-1.88991,8,4.32,92.31,96.75,180.0,180.0,OK
35674,359.6,12.0,12.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
36093,2.9,0.0,357.1,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
36179,332.7,175.0,202.3,1.44,52.483966,-1.88891,5,0.17,315.49,47.75,180.0,180.0,OK
36357,226.6,332.0,105.4,8.16,52.483867,-1.890083,9,3.07,342.51,135.0,120.0,120.0,OK
36475,124.8,327.0,202.2,3.36,52.484344,-1.889893,9,4.8,94.63,91.7,180.0,180.0,OK
36707,359.6,12.0,12.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
37124,2.9,0.0,357.1,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
37210,332.7,175.0,202.3,1.44,52.483959,-1.888907,5,0.33,254.6,48.0,180.0,180.0,OK
37413,230.7,344.0,113.3,8.16,52.483875,-1.89009,9,3.32,348.4,135.0,136.0,136.0,OK
37507,144.6,324.0,179.4,3.36,52.48434,-1.889875,8,4.37,98.88,81.89,180.0,180.0,OK
37739,359.6,11.0,11.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
38151,2.9,0.0,357.1,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
38257,332.7,175.0,202.3,1.44,52.483963,-1.888912,5,0.17,236.41,47.95,180.0,180.0,OK
38451,227.8,324.0,96.2,8.16,52.483882,-1.890097,9,3.19,346.91,135.0,102.0,102.0,OK
38550,167.8,320.0,152.2,3.36,52.484336,-1.889858,7,4.02,111.27,70.52,180.0,180.0,OK
38770,359.6,3.0,3.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
39192,3.0,0.0,357.0,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
39287,332.7,175.0,202.3,1.44,52.483963,-1.888915,5,0.22,119.79,47.84,180.0,180.0,OK
39481,0.0,339.0,339.0,8.16,52.483898,-1.890107,9,3.63,351.57,79.26,0.0,0.0,OK
39609,168.7,320.0,151.3,2.4,52.484333,-1.889847,7,3.87,128.15,70.18,180.0,180.0,OK
39816,359.6,3.0,3.4,2.4,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
40241,3.0,0.0,357.0,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
40352,332.7,175.0,202.3,0.96,52.483966,-1.888918,5,0.07,88.27,47.6,180.0,180.0,OK
40511,358.2,345.0,346.8,8.16,52.483901,-1.89012,9,3.32,346.05,80.88,0.0,0.0,OK
40639,168.2,320.0,151.8,2.4,52.484325,-1.889835,8,4.48,143.5,70.38,180.0,180.0,OK
40872,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
41272,3.0,0.0,357.0,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
41384,332.7,175.0,202.3,0.96,52.483974,-1.88892,6,0.26,350.27,47.23,180.0,180.0,OK
41542,359.0,0.0,1.0,6.72,52.483924,-1.890137,9,3.69,349.3,80.43,0.0,0.0,OK
41669,165.6,320.0,154.4,2.4,52.484321,-1.889825,8,3.37,136.33,71.58,180.0,180.0,OK
41907,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
42299,2.9,0.0,357.1,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
42415,332.7,175.0,202.3,0.96,52.483978,-1.888917,6,0.11,78.99,46.98,180.0,180.0,OK
42605,7.7,0.0,352.3,6.72,52.483936,-1.890143,9,4.06,348.59,76.25,0.0,0.0,OK
42713,148.9,321.0,172.1,2.4,52.484313,-1.889817,9,3.33,157.51,79.97,180.0,180.0,OK
42939,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
43330,2.5,0.0,357.5,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
43450,332.7,175.0,202.3,0.96,52.483978,-1.888912,6,0.39,55.21,47.11,180.0,180.0,OK
43643,11.5,356.0,344.5,6.72,52.483951,-1.890152,9,4.22,348.92,74.23,0.0,0.0,OK
43742,144.0,323.0,179.0,1.92,52.48431,-1.889812,9,2.48,157.66,82.37,180.0,180.0,OK
43984,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
44358,3.0,0.0,357.0,0.48,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
44494,332.6,175.0,202.4,0.96,52.483989,-1.888913,6,0.0,36.07,46.79,180.0,180.0,OK
44674,32.6,356.0,323.4,6.72,52.483963,-1.890153,9,4.07,356.96,63.44,0.0,0.0,OK
44798,166.1,323.0,156.9,1.92,52.484302,-1.889807,9,3.17,154.49,70.8,180.0,180.0,OK
45016,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
45421,3.0,0.0,357.0,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
45545,332.6,175.0,202.4,0.96,52.483989,-1.88892,7,0.0,19.22,46.65,180.0,180.0,OK
45707,20.6,336.0,315.4,6.72,52.483974,-1.89016,9,2.69,5.6,69.39,0.0,0.0,OK
45841,177.0,319.0,142.0,1.92,52.484283,-1.889793,9,3.69,157.7,64.82,180.0,180.0,OK
46073,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
46452,3.0,0.0,357.0,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
46574,332.6,175.0,202.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,180.0,180.0,OK
46749,2.0,346.0,344.0,6.72,52.483985,-1.890168,9,3.28,4.64,78.66,0.0,0.0,OK
46871,171.8,318.0,146.2,1.92,52.484279,-1.889783,9,3.94,155.79,67.49,180.0,180.0,OK
47105,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
47479,4.0,0.0,356.0,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
47608,332.6,175.0,202.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,180.0,180.0,OK
47805,24.9,338.0,313.1,6.72,52.484004,-1.890178,9,3.39,3.06,67.08,4.0,4.0,OK
47902,155.2,315.0,159.8,1.92,52.484268,-1.889777,9,3.41,146.38,74.93,180.0,180.0,OK
48139,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
48506,3.4,0.0,356.6,0.0,52.484046,-1.889295,6,0.0,280.24,45.0,0.0,0.0,OK
48655,332.6,175.0,202.4,0.96,52.483989,-1.88892,7,0.0,287.45,46.65,180.0,180.0,OK
48839,29.9,314.0,284.1,6.72,52.484016,-1.890188,9,3.78,357.63,64.71,62.0,62.0,OK
48950,123.2,312.0,188.8,1.92,52.484264,-1.889768,9,3.8,145.57,91.26,180.0,180.0,OK
49171,359.6,2.0,2.4,3.36,52.484073,-1.889315,5,0.0,10.5,91.02,0.0,0.0,OK
